sample_id,dose_id,uva_mw_cm2,uvb_mw_cm2,treatment,total_chrom,total_dad,total_dad_calibrated,total_latent,total_latent_se,total_residual,oxidized_chrom,oxidized_dad,oxidized_dad_calibrated,oxidized_latent,oxidized_latent_se,oxidized_residual,reduced_chrom,reduced_dad,reduced_dad_calibrated,reduced_latent,reduced_latent_se,reduced_residual
3A,dose_4,1.692,0.584,treatment_3,0.9736926256705184,1.7094794438737466,0.8643590313708679,0.9190258285206933,0.0446463019080942,0.1093335942996505,0.6878120568919264,0.9356581591332256,0.6138165913629929,0.6508143241274598,0.0564582210171518,0.0739954655289334,1.5153570908226774,1.9099329938342977,1.3708816005255446,1.4431193456741114,0.1147874381848128,0.1444754902971328
3C,dose_4,1.692,0.584,treatment_3,1.0790114043168109,2.0430406363752702,1.025955799231074,1.0524836017739423,0.0446463019080942,0.0530556050857369,1.0985069785074244,1.6687442054045785,1.0456143006863776,1.0720606395969012,0.0564582210171518,0.0528926778210467,1.04254661716374,1.6447580289805392,1.177885934188463,1.1102162756761016,0.1147874381848128,-0.1353393170247232
3D,dose_4,1.692,0.584,treatment_3,1.255954066152843,2.297129220783418,1.149051335862915,1.202502701007879,0.0446463019080942,0.1069027302899279,1.072664370241534,1.6496419948636982,1.0343628373738267,1.0535136038076804,0.0564582210171518,0.0383015328677072,1.5961033673981058,2.1990262352587417,1.5812851082361126,1.5886942378171094,0.1147874381848128,0.0148182591619931
3E,dose_4,1.692,0.584,treatment_3,0.5500388874480391,1.2799136321585376,0.6562519484220426,0.6031454179350408,0.0446463019080942,-0.1062130609740035,0.0731241459751473,0.2668567655476137,0.2198834218375429,0.1465037839063451,0.0564582210171518,-0.1467592758623956,1.4429540868273356,1.9677996702741165,1.4129972571991458,1.4279756720132408,0.1147874381848128,0.0299568296281897
3H,dose_4,1.692,0.584,treatment_3,0.9040368807911956,1.7794778301397156,0.8982703892574996,0.9011536350243476,0.0446463019080942,0.005766491533696,0.0390370454433307,0.0403387842823846,0.0864612322755296,0.0627491388594301,0.0564582210171518,-0.0474241868321989,2.5216484666553898,3.206748887017642,2.3147106967581546,2.4181795817067724,0.1147874381848128,0.2069377698972352
4A,dose_3,1.095,0.338,treatment_4,0.5200453207427675,1.30477134039287,0.6682944923311689,0.5941699065369682,0.0446463019080942,-0.1482491715884013,0.0586505169623707,0.3014542230586971,0.2402617975789483,0.1494561572706595,0.0564582210171518,-0.1816112806165776,1.3858869321347331,1.7924005792067157,1.2853409210358129,1.335613926585273,0.1147874381848128,0.1005460110989204
4B,dose_3,1.095,0.338,treatment_4,0.8668510231553068,1.5548722768855183,0.7894581764903748,0.8281545998228409,0.0446463019080942,0.077392846664932,0.7250736109792361,0.8972831299621381,0.5912131742394863,0.6581433926093612,0.0564582210171518,0.1338604367397498,1.1335157516866672,1.6565664588256312,1.1864801685182578,1.1599979601024624,0.1147874381848128,-0.0529644168315905
4F,dose_3,1.095,0.338,treatment_4,0.8088081421846567,1.6174086688596236,0.8197545030530284,0.8142813226188426,0.0446463019080942,-0.0109463608683717,0.769364276537505,1.1803060350738324,0.7579175368922213,0.7636409067148633,0.0564582210171518,0.0114467396452837,0.8841608188481707,1.573674414773636,1.126150924071369,1.00515587145977,0.1147874381848128,-0.2419901052231983
4G,dose_3,1.095,0.338,treatment_4,1.0373432372473892,1.9213634589583728,0.9670081787196332,1.0021757079835112,0.0446463019080942,0.0703350585277561,1.0335066376880315,1.4604228056397208,0.9229101465437268,0.9782083921158792,0.0564582210171518,0.1105964911443048,1.04699357529621,1.6708304874186437,1.1968615999044288,1.1219275876003196,0.1147874381848128,-0.1498680246082187
4H,dose_3,1.095,0.338,treatment_4,0.5651628740391357,1.246232575684147,0.6399348528283946,0.6025488634337651,0.0446463019080942,-0.0747719787892589,0.1390882837100536,0.205425551957,0.1836995966995535,0.1613939402048036,0.0564582210171518,-0.0446113129894999,1.3647366546767228,1.9353586136381025,1.3893864938467329,1.377061574261728,0.1147874381848128,-0.02464983917001
5B,dose_2,0.647,0.246,treatment_5,0.7194223277782666,1.5261083016630177,0.775523205842535,0.7474727668104009,0.0446463019080942,-0.0561008780642683,0.2441670153587955,0.3659730977620088,0.2782642973492146,0.261215656354005,0.0564582210171518,-0.034097281990419,1.609294090866774,2.2860970414140587,1.6446556766520248,1.6269748837593996,0.1147874381848128,-0.0353615857852507
5D,dose_2,0.647,0.246,treatment_5,0.7483554026287729,1.4809625425406014,0.7536519302841693,0.7510036664564711,0.0446463019080942,-0.0052965276553964,0.5007872070616076,0.6663048480926945,0.4551638066080098,0.4779755068348087,0.0564582210171518,0.0456234004535978,1.2131608814796528,1.862448680826068,1.3363222799100567,1.2747415806948548,0.1147874381848128,-0.1231613984304038
5E,dose_2,0.647,0.246,treatment_5,0.5428540882871999,1.2091364169951784,0.6219632797589667,0.5824086840230833,0.0446463019080942,-0.0791091914717667,0.1929794718527047,0.3141954447128113,0.2477665514236171,0.2203730116381609,0.0564582210171518,-0.0547870795709124,1.1993693743903615,1.6748693723983457,1.1998011206029469,1.1995852474966544,0.1147874381848128,-0.0004317462125853
5F,dose_2,0.647,0.246,treatment_5,0.9770940916686844,1.986237285652338,0.9984368968922964,0.9877654942804904,0.0446463019080942,-0.021342805223612,0.3389852363693281,0.4508871330662793,0.328279825704009,0.3336325310366686,0.0564582210171518,0.010705410665319,2.1675128108676067,2.9790434333708573,2.1489855281722567,2.158249169519932,0.1147874381848128,0.0185272826953499
5I,dose_2,0.647,0.246,treatment_5,0.5048126101399952,1.049746405693162,0.5447453322440143,0.5247789711920049,0.0446463019080942,-0.0399327221040191,0.2230675589393805,0.2067833343495396,0.1844993491022084,0.2037834540207944,0.0564582210171518,0.038568209837172,1.0387216023262689,1.4980273323043465,1.071094598917642,1.0549081006219554,0.1147874381848128,-0.032372996591373
6C,dose_1,0.0,0.0,treatment_6,0.5450396208882419,1.2174384480164826,0.6259852745529558,0.5855124477205988,0.0446463019080942,-0.0809456536647139,0.270321948694305,0.4063004785470203,0.3020176762800342,0.2861698124871696,0.0564582210171518,-0.0316957275857291,1.0622757611138731,1.1965539940750027,0.8516807948033511,0.9569782779586125,0.1147874381848128,0.210594966310522
6D,dose_1,0.0,0.0,treatment_6,0.9530731658141,1.807897753081465,0.9120386806339068,0.9325559232240034,0.0446463019080942,0.0410344851801931,0.978227101688044,1.450223581137007,0.9169026637938552,0.9475648827409496,0.0564582210171518,0.0613244378941889,0.9079045173781192,1.5148521642232535,1.0833397957784754,0.9956221565782974,0.1147874381848128,-0.1754352784003562
6F,dose_1,0.0,0.0,treatment_6,0.1207616597017118,0.1765755199927233,0.1217297174458993,0.1212456885738055,0.0446463019080942,-0.0009680577441875,0.0,-0.3044524785901091,-0.1166255380433145,-0.0583127690216572,0.0564582210171518,0.1166255380433145,0.5353933885116051,0.8485104024743506,0.5983729272512124,0.5668831578814088,0.1147874381848128,-0.0629795387396072
6H,dose_1,0.0,0.0,treatment_6,0.1555893290683165,0.1667550447218456,0.1169720984593391,0.1362807137638278,0.0446463019080942,0.0386172306089773,0.0,-0.5762457198950521,-0.2767154751004598,-0.1383577375502299,0.0564582210171518,0.2767154751004598,0.7768485085199663,1.104154667242737,0.7844321023752199,0.7806403054475931,0.1147874381848128,-0.0075835938552535
6J,dose_1,0.0,0.0,treatment_6,0.0,-0.0511349219047197,0.0114133130024238,0.0057066565012119,0.0446463019080942,-0.0114133130024238,0.0,-0.4444618934369324,-0.199092998612313,-0.0995464993061565,0.0564582210171518,0.199092998612313,0.2707482715773425,0.3988481127453225,0.2711064627085603,0.2709273671429514,0.1147874381848128,-0.0003581911312178
